"Team","Position","Age","Salary","GP","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"SAS/TOR","C",27,9398148,72,71,26.5,5.4,8.6,0.629,0,0,0,5.4,8.6,0.63,0.629,1.7,2.8,0.592,3.3,5.8,9.1,2.7,0.9,1.2,1.7,2.7,12.5,1906,21,0.635,0.002,0.325,13,25.5,19,15.2,1.7,4,15,18.2,3.7,2.2,6,0.15,1.1,0.8,1.9,1.9
"BRK/DET","C",28,9391069,17,4,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,195,7.9,0.424,0.056,0.333,5.6,21,13.1,6.7,4,4.5,23.9,12,-0.3,0.3,0,0.007,-6.5,2.6,-3.8,-0.1
"BRK","SF",29,9200000,76,53,31.7,3,7.8,0.386,2.1,5.5,0.389,0.9,2.3,0.379,0.524,0.7,0.9,0.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,2409,9.2,0.538,0.707,0.116,2.6,15,9,15.3,1.3,1.7,15.5,13.6,0.4,2.5,2.9,0.057,-1.7,0.6,-1.1,0.5
"WAS","PG",27,9125000,62,61,27.3,4,8.3,0.48,1.3,3.3,0.382,2.7,5,0.543,0.555,1,1.2,0.831,0.4,3,3.4,5.3,0.7,0.2,1,1.2,10.3,1695,15,0.579,0.396,0.15,1.8,11.6,6.9,26.4,1.2,0.6,9.9,15.6,3.1,1.1,4.2,0.12,0.8,-0.4,0.5,1.1
"LAC/CHO","C",32,9080417,79,60,26,4.2,6.1,0.68,0,0,NA,4.2,6.1,0.68,0.68,2.5,4,0.636,2.9,6,8.9,3.1,0.6,0.6,1.5,2.7,10.8,2054,19.6,0.689,0,0.647,11.8,25.1,18.4,17.3,1.1,2,15.8,15.2,5.5,2.4,7.9,0.185,1.2,1,2.2,2.2
"CHI","PG",28,9030000,67,36,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2,0.556,0.551,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,1575,11.5,0.588,0.528,0.255,3.1,10.9,7.1,15.4,3,2.8,19.5,11.1,1,2.6,3.6,0.109,-2.2,3.3,1.1,1.2
"DAL","PF",31,9000000,37,5,25.1,2.1,4.6,0.456,1.1,3,0.348,1,1.5,0.667,0.571,0.7,1,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,930,8.7,0.592,0.663,0.225,3.7,13.3,8.4,7.5,0.6,2.9,12.7,10.3,0.7,0.6,1.3,0.067,-2.2,0,-2.2,0
"MIL","SG",27,8925000,72,70,27.4,3.4,7.7,0.44,2,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1,1.6,10.4,1972,12.3,0.612,0.657,0.226,3.4,9,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1
"CLE","PG",23,8920794,69,69,35.5,7.6,16.4,0.462,2.4,6,0.41,5.1,10.4,0.492,0.537,4,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,2447,18.8,0.587,0.365,0.284,1.3,7.6,4.5,34.1,1.7,0.3,13.5,26.9,4.5,3,7.6,0.148,3.2,-0.7,2.4,2.7
"NYK","C",24,8854879,82,8,19.8,2.1,4,0.535,0.1,0.5,0.216,2,3.5,0.576,0.547,0.6,0.9,0.676,2.5,4,6.5,1.2,0.6,0.8,0.8,2.6,5,1626,14.2,0.567,0.113,0.217,14.1,22.2,18.1,8.3,1.6,3.7,15.6,11.2,2.2,2.4,4.6,0.136,-1.5,1.2,-0.3,0.7
"MIN","PF",29,8780488,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3,5.7,0.536,0.553,1.4,2,0.735,1,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,1957,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2
"MIA","SG",30,8750000,42,2,26.3,3.8,9.6,0.397,1.7,5,0.33,2.1,4.5,0.471,0.484,1.4,1.9,0.747,0.4,2.7,3,3.5,1.4,0.3,2.1,2.4,10.7,1106,10.6,0.513,0.526,0.196,1.6,12.3,6.8,19.8,2.6,1.1,16.6,21.1,-0.9,1.5,0.6,0.024,-2.9,0.8,-2.1,0
"IND","C",30,8694369,7,1,15.6,3,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1,2.1,3.1,1.3,0.3,0.9,0.4,1,7,109,14.2,0.497,0.25,0.273,7.1,15.2,11.2,12.2,0.9,4.7,5.7,20.1,0,0.1,0.1,0.046,-0.9,-0.5,-1.4,0
"CHO","PG",21,8623920,36,36,35.2,8.2,20,0.411,4,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,1268,17.9,0.541,0.531,0.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30,0.6,1.2,1.8,0.068,3.2,-0.8,2.4,1.4
"BRK","SG",32,8496653,61,7,19.9,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.568,0.8,0.9,0.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,1211,12.3,0.593,0.517,0.122,1.2,7.9,4.6,11.9,1.5,0.5,9.7,19.2,0.9,0.9,1.8,0.07,-1.2,-0.9,-2.1,0
"CLE","PF",21,8478720,79,79,34.4,6.6,12,0.554,0.3,1.3,0.216,6.4,10.7,0.595,0.566,2.6,3.8,0.674,2.4,6.6,9,2.8,0.8,1.5,1.8,2.8,16.2,2715,17.9,0.591,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4,11.9,20.2,3.7,4.8,8.5,0.151,0,1.6,1.7,2.5
"GSW/POR","SG",30,8300000,22,1,16.7,1.9,3.1,0.594,0.6,1.2,0.5,1.3,2,0.651,0.688,0.3,0.3,0.857,1.1,2,3.1,1.4,1,0.2,0.7,2,4.6,367,13.3,0.701,0.377,0.101,7.4,13.9,10.6,11,2.9,1.2,18.2,10.3,0.6,0.4,1,0.125,-1.2,1.5,0.3,0.2
"PHI/MIA","C",33,8283688,38,1,11.2,2,4,0.51,0.3,1,0.308,1.7,2.9,0.58,0.55,0.9,1.3,0.673,0.9,2.6,3.5,0.7,0.2,0.5,0.7,2,5.2,426,15.5,0.577,0.258,0.325,9.1,28.3,18.5,9.5,1.1,4.4,12.7,20.6,0.3,0.7,1,0.115,-2.6,1,-1.6,0
"PHI","SG",24,8250000,77,58,27.9,3.6,8.5,0.425,2,5.2,0.39,1.6,3.2,0.484,0.546,0.9,1.1,0.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,2150,12.7,0.566,0.619,0.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,0.095,-0.7,1.6,0.9,1.6
"GSW","PF",32,8200000,57,1,14,2.4,4.4,0.54,0.7,1.9,0.378,1.6,2.5,0.667,0.623,0.9,1.2,0.776,1.3,2.3,3.6,0.9,0.4,0.4,0.9,1.8,6.4,797,15.5,0.65,0.44,0.266,10.1,18,14.1,8.9,1.5,2.5,15.6,17.5,1.2,1,2.2,0.133,-0.7,0.2,-0.5,0.3
"SAC","SF",22,8008440,80,78,29.8,4.4,9.8,0.453,2.6,6.3,0.411,1.9,3.5,0.527,0.584,0.8,1,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2,12.2,2382,12.3,0.597,0.641,0.104,4.3,13.4,8.9,5.5,1.2,1.5,6.8,15.8,2.6,1.7,4.3,0.087,0.4,-1,-0.6,0.8
"GSW","C",26,8000000,82,70,23.9,3,4.7,0.63,0,0,0,3,4.7,0.632,0.63,1.1,1.9,0.606,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7,1958,17.8,0.639,0.003,0.404,15.7,26.8,21.4,13.8,1.3,2.2,9.1,10.6,5.9,2.8,8.7,0.212,0.9,1.3,2.1,2
"TOR","PF",34,8000000,54,9,14.7,2,3.7,0.545,0.1,0.6,0.176,1.9,3,0.622,0.561,0.3,0.5,0.692,1.3,1.8,3.1,1.4,1,0.1,0.8,1.6,4.4,795,14.1,0.573,0.172,0.131,9.4,14.6,11.8,12.9,3.4,0.6,16.7,13.5,0.7,1.1,1.8,0.109,-1.8,1.9,0.1,0.4
"WAS","PG",30,7804878,50,14,24.4,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,0.545,1,1.2,0.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,1221,16.3,0.581,0.409,0.206,5.5,10.7,8.2,20.9,3.7,1.2,12.2,12.9,2.1,1.6,3.7,0.146,0.4,3.1,3.4,1.7
"CHI","PF",21,7775400,82,65,28.3,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,0.549,1.1,1.3,0.857,1,3,4,1.2,0.9,0.9,1.2,1.8,10.2,2323,11.2,0.576,0.409,0.155,3.9,12,8,5.8,1.5,2.9,12.3,15.7,0.5,3,3.5,0.072,-1.7,0.4,-1.3,0.4
"TOR","SF",21,7644600,77,76,34.8,6,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,0.487,2.5,3.2,0.772,2.3,4.3,6.6,4.8,1.1,0.8,2,2.2,15.3,2678,15.5,0.524,0.22,0.242,7.1,15.2,10.8,20,1.5,2.2,12,20.3,2.3,2.7,5,0.09,0.5,-0.1,0.4,1.6
"CLE","SF",27,7426088,77,2,20.1,3.1,6.9,0.451,1.5,4.1,0.372,1.6,2.8,0.564,0.56,1,1.4,0.694,0.3,2,2.3,1.5,0.5,0.1,0.7,1.6,8.7,1548,12,0.579,0.589,0.204,1.9,11.5,6.7,10.6,1.1,0.7,8.3,18.2,1.4,1.9,3.3,0.103,-0.8,0.2,-0.7,0.5
"CHI","SG",22,7413955,74,2,23.4,3.6,8,0.443,1.7,4.6,0.372,1.8,3.4,0.54,0.551,0.8,0.9,0.871,0.2,2.6,2.9,2.8,0.7,0.1,1,1.6,9.7,1730,12.5,0.572,0.579,0.118,1.1,12.6,6.9,16.3,1.5,0.3,10.6,17.9,1.2,1.9,3.1,0.087,-1,0.2,-0.8,0.5
"SAS","C",25,7350000,63,26,22.9,4.5,8.7,0.518,0.9,2.3,0.374,3.6,6.4,0.571,0.568,1.7,2.3,0.761,1.8,4.5,6.4,2.9,0.6,0.8,2,3.2,11.6,1441,16.4,0.599,0.268,0.259,8.5,22.5,15.2,18,1.2,2.8,17.4,21.2,1.2,1,2.2,0.074,-0.5,0.3,-0.2,0.6
"DET","SG",20,7252200,74,73,31.1,5.5,13.3,0.416,1.6,4.7,0.343,3.9,8.6,0.457,0.477,3.6,4.8,0.747,1,2.9,3.9,5.2,0.8,0.2,3.2,3.3,16.3,2304,12.1,0.528,0.356,0.362,3.4,10.7,6.9,26.2,1.3,0.7,17.2,25.4,-0.9,0.8,0,-0.001,-1.4,-1.9,-3.3,-0.7
"MIN","PF",28,7100000,54,4,22.1,3.3,7,0.467,1.4,3.6,0.381,1.9,3.4,0.557,0.565,1.2,1.4,0.844,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,9.1,1192,10,0.597,0.512,0.203,1.4,10.8,6.2,9.6,1.1,1.1,14.3,17.3,0.3,1,1.3,0.052,-2.6,-0.6,-3.3,-0.4
"HOU","SF",27,7065217,31,7,21.8,3.5,7.4,0.48,0.4,1.5,0.283,3.1,5.9,0.53,0.509,1.6,2.2,0.725,1.3,2.5,3.8,2.7,0.7,0.2,1.5,3.4,9.1,677,12.2,0.546,0.201,0.301,6.6,12.6,9.6,18.2,1.5,1,15.3,18.8,0.4,0.3,0.7,0.049,-2.8,-0.7,-3.5,-0.3
"CLE","SF",22,7040880,76,46,21.7,2.3,4.7,0.494,0.8,2.3,0.363,1.5,2.4,0.617,0.582,1,1.4,0.757,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4,1652,10.7,0.614,0.483,0.291,3.7,9.6,6.7,7,1.7,1.7,9.5,11.9,1.9,2.3,4.2,0.122,-1.9,1.6,-0.3,0.7
"CHO","SF",27,7000000,7,0,19.1,2,5.1,0.389,0.4,2,0.214,1.6,3.1,0.5,0.431,0.6,1,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5,134,8.7,0.448,0.389,0.194,6.2,13,9.5,11,1.4,0.6,4.9,12.9,0,0.1,0.1,0.045,-3.8,-0.8,-4.6,-0.1
"ORL","SG",21,6922320,53,19,23.5,3.5,8.4,0.419,1.2,3.8,0.327,2.3,4.6,0.496,0.493,1.6,2.2,0.723,1,2,3,2.9,1.3,0.5,1.8,2.3,9.9,1246,12.5,0.528,0.455,0.268,5,9.6,7.3,18,2.6,2.1,15.9,20.3,-0.2,1.5,1.4,0.053,-1.8,0.8,-1,0.3
"NOP","C",22,6803012,47,2,13,1.8,3.3,0.551,0.1,0.6,0.103,1.8,2.7,0.654,0.561,1.2,1.8,0.699,0.8,2,2.8,0.7,0.4,0.4,0.7,1.4,5,610,13.7,0.605,0.186,0.532,7.3,17.3,12.3,7.7,1.6,3,13.9,15.7,0.6,0.9,1.5,0.118,-2.2,1,-1.2,0.1
"TOR","C",30,6667500,20,0,8.1,1,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,162,9.4,0.629,0.063,0.156,5.2,12.8,8.7,5.8,1.5,3,19,11.1,0.1,0.2,0.2,0.072,-4.6,1.1,-3.5,-0.1
"IND","SG",20,6586800,78,17,28.5,5.3,12.2,0.434,1.3,4,0.323,4,8.2,0.488,0.487,4.8,5.8,0.828,1.1,3,4.1,1.5,0.6,0.2,1.9,2.1,16.7,2222,13.1,0.566,0.326,0.477,4.4,11.5,7.9,7.6,1,0.5,11.7,24.6,1,0.8,1.8,0.038,-1.2,-2.5,-3.7,-1
